,,,,,,,,,SUBNATION_NAME,NAME_CATEGORY_DESC,ELCODE,FAMILY,Scientific Name,Common Name,SNAME [ACIMS],ORIGIN,TreeTime,SeedTime,GCOMNAME,S_RANK,N_RANK,G_RANK,ORIGIN,CURRENT_PRESENCE_ABSENCE,TRACK_STATUS,,,,GNAME
,,,,,,,,,Alberta,Vascular Plant,PMPOA040T0,Poaceae,Agrostis mertensii,northern bent grass,Agrostis mertensii,Native,FALSE,FALSE,Arctic Bentgrass,S2,N5,G5,Native,Present,Track all extant and selected historical EOs,,,,Agrostis mertensii
,,,,,,Bearberry Creek Greenhouse,BrettYoung,Prairie Flora Greenhouse,Alberta,Vascular Plant,PMPOA04120,Poaceae,Agrostis scabra,rough hair grass,Agrostis scabra,Native,FALSE,FALSE,Rough Bentgrass,S5,N5,G5,Native,Present,Do not track,,,,Agrostis scabra
,,,,,,,,,Alberta,Vascular Plant,PMPOA04140,Poaceae,Agrostis stolonifera,redtop,Agrostis stolonifera,Exotic,FALSE,FALSE,Creeping Bentgrass,SNA,N5,G5,Exotic,Present,Do not track,,,,Agrostis stolonifera
,,,,,,,,,Alberta,Vascular Plant,PMPOA04180,Poaceae,Agrostis variabilis,alpine redtop,Agrostis variabilis,Native,FALSE,FALSE,Variable Bentgrass,S3,N5,G5,Native,Present,Do not track,,,,Agrostis variabilis
,,,,,,,,,Alberta,Vascular Plant,PMALI01010,Alismataceae,Alisma gramineum,narrow-leaved water-plantain,Alisma gramineum,Native,FALSE,FALSE,Narrowleaf Water-plantain,S3,N4,G5,Native,Present,Do not track,,,,Alisma gramineum
,,,,,,,,Bearberry Creek Greenhouse,Alberta,Vascular Plant,PMALI01050,Alismataceae,Alisma triviale,broad-leaved water-plantain,Alisma triviale,Native,FALSE,FALSE,Northern Water-plantain,S5?,N5,G5,Native,Present,Do not track,,,,Alisma triviale
,,,,,,,,,Alberta,Vascular Plant,PDBRA01010,Brassicaceae,Alliaria petiolata,garlic mustard,Alliaria petiolata,Exotic,FALSE,FALSE,Garlic Mustard,SNA,NNA,GNR,Exotic,Present,Do not track,,,,Alliaria petiolata
,,,ALCLA,K&S Growers,Medieval Manor Gardens,Edmonton Native Plant Society,Arnica Wildflowers,Sunstar Nurseries Ltd.,Alberta,Vascular Plant,PMLIL020J0,Liliaceae,Allium cernuum,nodding onion,Allium cernuum,Native,FALSE,FALSE,Nodding Onion,S5,N5,G5,Native,Present,Do not track,,,,Allium cernuum
,,,,,,,,,Alberta,Vascular Plant,PMLIL02100,Liliaceae,Allium geyeri,Geyer's onion,Allium geyeri,Native,FALSE,FALSE,Geyer's Onion,S2,N3,G4G5,Native,Present,"Track selected extant EOs (i.e., partial tracking)",,,,Allium geyeri
,,,,,,,,,Alberta,Vascular Plant,PMLIL02101,Liliaceae,Allium geyeri var. geyeri,Geyer's onion,Allium geyeri var. geyeri,Native,FALSE,FALSE,Geyer's Onion,SU,NNR,G4G5T4 ,Native,Present,Track all extant and selected historical EOs,,,,Allium geyeri var. geyeri
