Common name,Scientific name,Life span,Origin,Grazing response,Forage value,Stratum
Alfalfa,Medicago sativa,Perennial,Introduced,Invader,Good,Graminoid
Alpine milk vetch,Astragalus alpinus,Perennial,Native,Increaser,Fair,Graminoid
Alumroot,Heuchera richardsonii,Perennial,Native,lncreaser,Poor,Graminoid
American milk vetch,Astragalus americanus,Perennial,Native,Decreaser,Good,Graminoid
American vetch,Vicia americana,Perennial,Native,Decreaser,Good,Graminoid
Ascending purple milk vetch,Astragalus striatus,Perennial,Native,Increaser,Fair,Graminoid
Arnicas,Arnica spp.,Perennial,Native,lncreaser,Poor,Graminoid
Aster,Aster spp.,Perennial,Native,lncreaser,Fair,Graminoid
Baby’s-breath,Gypsophila paniculata,Perennial,Introduced,Invader,Poor,Graminoid
Ball-head sandwort,Arenaria congesta,Perennial,Native,lnvader,Poor,Graminoid
Balsam-root,Balsamorhiza sagittata,Perennial,Native,lncreaser,Fair,Graminoid
Baneberry,Actaea rubra,Perennial,Native,Increaser,Poor and poisonous,Graminoid
Bastard toad-flax,Comandra umbellata,Perennial,Native,Increaser,Poor,Graminoid
Beard-tongue,Penstemon spp.,Perennial,Native,Increaser,Fair,Graminoid
Bird’s-foot trefoil,Lotus corniculatus,Perennial,Introduced,Invader,Good,Graminoid
Black medick,Medicago lupulina,Perennial,Introduced,Invader,Good,Graminoid
Blazing star,Liatris spp.,Perennial,Native,Increaser,Poor,Graminoid
Bluebell,Campanula rotundifolia,Perennial,Native,lncreaser,Poor,Graminoid
Blue-eyed grass,Sisyrinchium montanum,Perennial,Native,Increaser,Poor,Graminoid
Broomweed,Gutierrezia sarothrae,Perennial,Native,Increaser,Poor and poisonous,Graminoid
Buffalo bean/golden bean,Thermopsis rhombifolia,Perennial,Native,Increaser,Poor,Graminoid
Buttercup/crowfoot,Ranunculus spp.,Perennial,Native,lncreaser,Poor,Graminoid
Canada anemone,Anemone canadensis,Perennial,Native,Increaser,Poor,Graminoid
Canada milk vetch,Astragalus canadensis,Perennial,Native,Decreaser,Good,Graminoid
Canada thistle,Cirsium arvense,Perennial,Introduced,Invader,Good,Graminoid
Cicer milk vetch,Astragalus cicer,Perennial,Introduced,Increaser,Good,Graminoid
Cinquefoil,Potentilla spp.,Perennial,Native,lncreaser,Poor,Graminoid
